"Lesson 2 Phrase" "The Esperanto Teacher (by Helen Fryer) http://www.gutenberg.org"
"La patro estas sana." "The father is healthy."
"Infano ne estas matura homo." "An infant is not a mature human being."
"La ĉielo estas blua." "The sky is blue."
"Leono estas forta." "A lion is strong."
"La patro estas bona." "The father is good."
"Jen estas la kajero de la juna fraŭlino." "Here is the exercise book of the young maiden."
"Sur la ĉielo staras la bela suno." "On the sky stands the beautiful sun."
"La papero estas tre blanka, sed la neĝo estas pli blanka." "Te paper is very white, but the snow is whiter."
"Lakto estas pli nutra, ol vino." "Milk is more nutritious than wine."
"La pano estas freŝa." "The bread is fresh."
"La onklo estas pli riĉa, ol la frato." "The uncle is richer than the brother."
"Jen kuŝas ruĝa rozo." "Here lies a red rose."
"La hundo estas tre fidela." "The dog is very faithful."
"La libro estas nova." "The book is new."
